poem,label
"ଅ ଫ଼ୋଉନ୍ତୈନ୍ ଦିଦ୍ ସ୍ପର୍କ୍ଲେ wଇଥ୍ ଛେଏର୍,
ଇତ୍ସ୍ wଅତେର୍ସ୍ ସୋ ଚ୍ର୍ଯ୍ସ୍ତଲ୍ ଅନ୍ଦ୍ ଚ୍ଲେଅର୍।
ଥେ ଜ଼େଫ୍ଯ୍ର୍ସ୍ ସୋ ବ୍ରିଘ୍ତ୍,
ବ୍ରୋଉଘ୍ତ୍ ଫ଼୍ରଗ୍ରନ୍ଚେ ଇନ୍ ଫ଼୍ଲିଘ୍ତ୍,
ଅସ୍ ଵିଓଲେତ୍ସ୍ ଦିଦ୍ ସ୍wଏଏତ୍ଲ୍ଯ୍ ଅପ୍ପେଅର୍।",1
"ଥେ ତେମ୍ପେସ୍ତ୍ ଲେତ୍ ଲୋଓସେ ଫ଼୍ରୋମ୍ ଥେ wଏସ୍ତ୍,
ଅନ୍ଦ୍ ରଗେଦ୍ wଇଥୋଉତ୍ ମେର୍ଚ୍ଯ୍ ଓର୍ ରେସ୍ତ୍।
ଥେ ତୋର୍ରେନ୍ତ୍ସ୍ ଦିଦ୍ ରିସେ,
ବେନେଅଥ୍ ଦର୍କେନେଦ୍ ସ୍କିଏସ୍,
ଅନ୍ଦ୍ ଲେଫ଼୍ତ୍ ଥେ wଇଦେ ମେଅଦୋwସ୍ ଦିସ୍ତ୍ରେସ୍ସେଦ୍।",1
"ଅ ରିଵେର୍ ଇନ୍ ଦୁସ୍କ୍,
ମିର୍ରୋର୍ସ୍ ସ୍କ୍ଯ୍ ଇନ୍ ଚ୍ରିମ୍ସୋନ୍ ହୁଏ,
ସୋଫ଼୍ତ୍ ରିପ୍ପ୍ଲେସ୍ ଏxତେନ୍ଦ୍,
ବ୍ରେଅକିନ୍ଗ୍ ଲିଘ୍ତ୍ ଉପୋନ୍ ଥେ wଅଵେସ୍,
ଫ଼ଦିନ୍ଗ୍ wଇଥ୍ ଥେ ଚୋମିନ୍ଗ୍ ନିଘ୍ତ୍।",0
"ଥେ wଓଓଦ୍ଲନ୍ଦ୍ ଇନ୍ ସିଲେନ୍ଚେ ଦିଦ୍ ସ୍ଲେଏପ୍,
ଅସ୍ ସ୍ହଦୋwସ୍ ଓଫ଼୍ ଏଵେନିନ୍ଗ୍ ଦିଦ୍ ଚ୍ରେଏପ୍।
ଥେ ଫ଼ୋx ଇନ୍ ହିସ୍ ରୁନ୍,
Wଇଥ୍ ସ୍ତେପ୍ସ୍ ସ୍wଇଫ଼୍ତ୍ ଅନ୍ଦ୍ ସ୍ପୁନ୍,
ଦିଦ୍ ଵନିସ୍ହ୍ ଥ୍ରୋଉଘ୍ ହୋଲ୍ଲୋwସ୍ ସୋ ଦେଏପ୍।",1
"ଅ wହିସ୍ପେର୍ ଓଫ଼୍ ଫ଼୍ରୋସ୍ତ୍,
ଲିନ୍ଗେର୍ସ୍ ଓନ୍ ଥେ wଇନ୍ଦୋwପନେ,
ନିଘ୍ତ୍ wଇନ୍ଦ୍ସ୍ ଚଲ୍ଲ୍ ସୋ ଲୋw,
ଥ୍ରୋଉଘ୍ ଥେ ଏମ୍ପ୍ତ୍ଯ୍ ସ୍ଲେଏପିନ୍ଗ୍ ତ୍ରେଏସ୍,
ସୋଫ଼୍ତ୍ ସ୍ତେପ୍ସ୍ ଲୋସ୍ତ୍ wଇଥିନ୍ ଥେ ସ୍ନୋw।",0
"ଥେ ସୁମ୍ମେର୍ ବ୍ରେଏଜ଼େ ସିଘ୍ସ୍,
ବ୍ରୁସ୍ହିନ୍ଗ୍ ସୋଫ଼୍ତ୍ଲ୍ଯ୍ ଥ୍ରୋଉଘ୍ ଥେ ଗ୍ରସ୍ସ୍,
ପେତଲ୍ସ୍ ଦ୍ରିଫ଼୍ତ୍ ଲିକେ ସ୍ନୋw,
ଚର୍ରିଏଦ୍ ବ୍ଯ୍ ଥେ ହୁସ୍ହ୍ ଓଫ଼୍ ଦୁସ୍କ୍,
ଅ ମୋମେନ୍ତ୍ ଥତ୍ wଇଲ୍ଲ୍ ନୋତ୍ ସ୍ତଯ୍।",0
"ଥେ ଚ୍ଲିଫ଼୍ଫ଼୍ସ୍ ମେଏତ୍ ଥେ ସେଅ,
Wଅଵେସ୍ ଏମ୍ବ୍ରଚେ ଥେ ରୁଗ୍ଗେଦ୍ ସ୍ତୋନେ,
ସଲ୍ତ୍ ମିସ୍ତ୍ ଇନ୍ ଥେ ଐର୍,
ଗୁଲ୍ଲ୍ସ୍ ଇନ୍ ଚିର୍ଚ୍ଲେସ୍ ରିଦେ ଥେ wଇନ୍ଦ୍,
ବୋଉନ୍ଦ୍ ବେତ୍wଏଏନ୍ ଥେ ତିଦେ ଅନ୍ଦ୍ ସ୍କ୍ଯ୍।",0
"ଅ wଓଓଦ୍ଲନ୍ଦ୍ ଏନ୍ସ୍ହ୍ରିନେଦ୍ ଇନ୍ ରେପୋସେ,
Wଇଥ୍ ଵିଓଲେତ୍ସ୍ ଇନ୍ ଦେଲିଚତେ ରୋwସ୍।
ଥେ ଜ଼େଫ୍ଯ୍ର୍ସ୍ ସୋ ଲିଘ୍ତ୍,
ବ୍ରୋଉଘ୍ତ୍ ଫ଼୍ରଗ୍ରନ୍ଚେ ଇନ୍ ଫ଼୍ଲିଘ୍ତ୍,
ଅନ୍ଦ୍ କିସ୍ସେଦ୍ ଥେ ଯୋଉନ୍ଗ୍ ବୁଦ୍ସ୍ ଅସ୍ ଥେଯ୍ ରୋସେ।",1
"ଥେ ମେଅଦୋw ଲଯ୍ କିସ୍ସେଦ୍ ବ୍ଯ୍ ଥେ ଫ଼୍ରୋସ୍ତ୍,
ଇତ୍ସ୍ ସୁମ୍ମେର୍ ଅଦୋର୍ନ୍ମେନ୍ତ୍ସ୍ ଅଲ୍ଲ୍ ଲୋସ୍ତ୍।
ଥେ wହିସ୍ପେରିନ୍ଗ୍ ତ୍ରେଏସ୍,
ଦିଦ୍ ମୋଅନ୍ ଇନ୍ ଥେ ବ୍ରେଏଜ଼େ,
ଅସ୍ wଇନ୍ତେର୍ ଚମେ ଦୋwନ୍ ତେମ୍ପେସ୍ତ୍-ତୋସ୍ସେଦ୍।",1
"ଥେ ମୋଓର୍ ଇନ୍ ଥେ ମୋଓନ୍ଲିଘ୍ତ୍ ଦିଦ୍ ଗ୍ଲୋw,
ଅସ୍ ବ୍ରେଏଜ଼େସ୍ ଦିଦ୍ ସୋଫ଼୍ତ୍ ବେନ୍ଦିନ୍ଗ୍ ବ୍ଲୋw।
ଥେ ହେଅଥେର୍ ଇନ୍ ବ୍ଲୋଓମ୍,
ଚସ୍ତ୍ ଓଫ଼୍ଫ଼୍ ଇତ୍ସ୍ ପେର୍ଫ଼ୁମେ,
ଇନ୍ ଵଲ୍ଲେଯ୍ସ୍ ଥତ୍ wହିସ୍ପେରେଦ୍ ବେଲୋw।",1
